System,Domain,Organization,Country,Publication date,Citations,Parameters,DatasetSize,Epochs,Training time (hours),Model accessibility
Qwen2.5-72B,Language,Alibaba,China,19/9/24,,72700000000,18000000000000,1,,Open access (unrestricted)
Table Tennis Agent,Robotics,Google DeepMind,Multinational,7/8/24,,185000,,,,Unreleased
AFM-server,Language,Apple,United States of America,29/7/24,,,7400000000000,1,,Hosted access (no API)
AFM-on-device,Language,Apple,United States of America,29/7/24,,2730000000,7590000000000,1,,Hosted access (no API)
Mistral Large 2,Language,Mistral AI,France,24/7/24,,123000000000,,,,Open access (non-commercial)
Llama 3.1-405B,Language,Meta AI,United States of America,23/7/24,,405000000000,15600000000000,1,2142,Open access (restricted use)
ESM3 (98B),Biology,"EvolutionaryScale,UC Berkeley","United States of America,United States of America",25/6/24,,98500000000,771000000000,2.3,,Unreleased
Claude 3.5 Sonnet,"Multimodal,Language,Vision",Anthropic,United States of America,20/6/24,,,,,,API access
GLM-4 (0520),Language,Zhipu AI,China,18/6/24,,,10000000000000,,,API access
DeepSeek-Coder-V2 236B,Language,DeepSeek,China,17/6/24,,236000000000,3190000000000,,,Open access (restricted use)
Nemotron-4 340B,Language,NVIDIA,United States of America,14/6/24,,340000000000,6750000000000,,2200,Open access (unrestricted)
OpenVLA,"Robotics,Vision,Language","Stanford University,UC Berkeley,Toyota Research Institute,Google DeepMind,Massachusetts Institute of Technology (MIT),Physical Intelligence","United States of America,United States of America,United States of America,Multinational,United States of America,United States of America",13/6/24,25,7188100000,970000,27,336,Open access (unrestricted)
Qwen2-72B,Language,Alibaba,China,7/6/24,,72710000000,7000000000000,,,Open access (unrestricted)
GPT-4o,"Multimodal,Language,Audio,Speech,Vision",OpenAI,United States of America,13/5/24,,,,,,API access
Llama 3-70B,Language,Meta AI,United States of America,18/4/24,,70000000000,15000000000000,,,Open access (restricted use)
ReALM,Language,Apple,United States of America,29/3/24,,3000000000,16300,,,Unreleased
MM1-30B,"Multimodal,Language,Vision",Apple,United States of America,14/3/24,89,30000000000,1500000000000,,,Unreleased
Inflection-2.5,Language,Inflection AI,United States of America,7/3/24,,,,,,Hosted access (no API)
Claude 3 Opus,"Multimodal,Language,Vision",Anthropic,United States of America,4/3/24,,,,,,API access
MegaScale (Production),Language,"ByteDance,Peking University","China,China",23/2/24,31,530000000000,,,504,Unreleased
Sora,Video,OpenAI,United States of America,15/2/24,,,,,,Unreleased
Gemini 1.5 Pro,"Language,Multimodal",Google DeepMind,Multinational,15/2/24,,,,,,API access
Aya,Language,"Cohere for AI,Brown University,Cohere,Carnegie Mellon University (CMU),Massachusetts Institute of Technology (MIT)","Multinational,United States of America,Canada,United States of America,United States of America",12/2/24,85,13000000000,,,,Open access (unrestricted)
Qwen1.5 72B,Language,Alibaba,China,4/2/24,,72000000000,,,,Open access (restricted use)
Qwen-VL-Max,"Multimodal,Language,Vision",Alibaba,China,25/1/24,,7000000000,,,,API access
AlphaGeometry,Mathematics,"Google DeepMind,New York University (NYU)","Multinational,United States of America",17/1/24,151,151000000,,,,Open access (unrestricted)
CoRe,"Mathematics,Language",Tsinghua University,China,29/12/23,45,12400000000,,,,
Gemini Nano-2,"Multimodal,Language,Vision,Audio",Google DeepMind,Multinational,19/12/23,633,3250000000,,,,Unreleased
Gemini Nano-1,"Multimodal,Language,Vision,Audio",Google DeepMind,Multinational,19/12/23,633,1800000000,,,,Unreleased
FunSearch,"Language,Search",Google DeepMind,Multinational,14/12/23,149,15000000000,0,,48,Open access (unrestricted)
CogAgent,"Vision,Language","Tsinghua University,Zhipu AI","China,China",14/12/23,150,18000000000,287000000,,,Open access (restricted use)
Mixtral 8x7B,Language,Mistral AI,France,11/12/23,,46700000000,,,,Open access (unrestricted)
SeamlessM4T,"Speech,Language","Facebook,INRIA,UC Berkeley","United States of America,France,United States of America",8/12/23,77,2300000000,,,,Open access (unrestricted)
Llama Guard,Language,Meta AI,United States of America,7/12/23,157,7000000000,4096000,1,,Open access (restricted use)
Gemini 1.0 Ultra,"Multimodal,Language,Vision",Google DeepMind,Multinational,6/12/23,633,,,,2400,API access
Gemini 1.0 Pro,"Multimodal,Language,Vision",Google DeepMind,Multinational,6/12/23,633,,,,,API access
Mamba-24M (SC09),Speech,"Carnegie Mellon University (CMU),Princeton University","United States of America,United States of America",1/12/23,969,23400000,305280000,100,,
Qwen-72B,Language,Alibaba,China,30/11/23,,72000000000,3000000000000,,,Open access (restricted use)
PPLX-70B-Online,Language,Perplexity,United States of America,29/11/23,,70000000000,,,,API access
Inflection-2,Language,Inflection AI,United States of America,22/11/23,,,,,,Hosted access (no API)
Claude 2.1,Language,Anthropic,United States of America,21/11/23,0,,,,,API access
Nemotron-3-8B,Language,NVIDIA,United States of America,15/11/23,,8000000000,3800000000000,,456,Open access (restricted use)
Qwen-Audio-Chat,"Language,Speech,Audio",Alibaba,China,14/11/23,111,8460000000,,,,Open access (restricted use)
GraphCast,Earth science,Google DeepMind,Multinational,14/11/23,,,,,,Open access (unrestricted)
Volcano 13B,"Language,Multimodal,Vision","Korea University,Korea Advanced Institute of Science and Technology (KAIST),LG","Korea (Republic of),Korea (Republic of),Korea (Republic of)",13/11/23,19,13000000000,,1,30,Open access (non-commercial)
SPHINX (Llama 2 13B),"Vision,Language,Multimodal","Shanghai AI Lab,Chinese University of Hong Kong (CUHK),ShanghaiTech University","China,Hong Kong,China",13/11/23,,19900000000,,,290,Open access (restricted use)
MultiBand Diffusion,"Audio,Speech","Meta AI,Hebrew University of Jerusalem,LORIA","United States of America,Israel,France",8/11/23,11,,,,48,Open access (unrestricted)
OmniVec,"Multimodal,Vision,Speech,Language,Video,3D modeling",TensorTour,United States of America,7/11/23,33,,,2000,,
mPLUG-Owl2,"Vision,Language,Multimodal",Alibaba,China,7/11/23,,7120000000,400672000,1,,Open access (unrestricted)
GPT-4 Turbo,"Multimodal,Vision,Language,Image generation",OpenAI,United States of America,6/11/23,,,,,,API access
